Timestamp,T_avg,Idir,Idiff,RH,T_avg1,Idir1,Idiff1,RH1,Hzgb1,T_avg2,Idir2,Idiff2,RH2,Hzgb2,T_avg24,Idir24,Idiff24,RH24,Hzgb24,T_avg168,Idir168,Idiff168,RH168,Hzgb168
2016-09-01 00:00:00,20.15833333333333,0.0,0.0,53.66666666666666,20.67916666666667,0.0,0.0,52.16666666666666,44.0,21.1,0.0,0.0,51.83333333333334,44.0,22.504166666666666,0.0,0.0,50.0,42.0,21.09583333333333,0.0,0.0,64.0,42.0
2016-09-01 01:00:00,19.608333333333334,0.0,0.0,55.08333333333334,20.15833333333333,0.0,0.0,53.66666666666666,43.96551724137931,20.67916666666667,0.0,0.0,52.16666666666666,44.0,22.066666666666666,0.0,0.0,50.83333333333334,41.32142857142857,19.879166666666666,0.0,0.0,66.58333333333333,42.92307692307692
2016-09-01 02:00:00,18.70833333333333,0.0,0.0,59.0,19.608333333333334,0.0,0.0,55.08333333333334,43.0,20.15833333333333,0.0,0.0,53.66666666666666,43.96551724137931,21.72083333333333,0.0,0.0,51.16666666666666,41.0,18.65833333333333,0.0,0.0,72.08333333333333,43.0
2016-09-01 03:00:00,18.07083333333333,0.0,0.0,61.41666666666666,18.70833333333333,0.0,0.0,59.0,43.0,19.608333333333334,0.0,0.0,55.08333333333334,43.0,21.2125,0.0,0.0,51.41666666666666,41.0,18.20833333333333,0.0,0.0,73.25,43.0
2016-09-01 04:00:00,17.541666666666668,0.0,0.0,64.08333333333333,18.07083333333333,0.0,0.0,61.41666666666666,43.0,18.70833333333333,0.0,0.0,59.0,43.0,20.495833333333334,0.0,0.0,54.0,41.0,17.812499999999996,0.0,0.0,76.75,43.78378378378378
2016-09-01 05:00:00,17.212500000000002,0.0,0.0,66.08333333333333,17.541666666666668,0.0,0.0,64.08333333333333,43.0,18.07083333333333,0.0,0.0,61.41666666666666,43.0,18.83333333333333,0.0,0.0,64.75,41.886792452830186,17.40833333333333,0.0,0.0,76.91666666666667,44.0
2016-09-01 06:00:00,17.1125,0.08333333333333333,7.166666666666668,66.08333333333333,17.212500000000002,0.0,0.0,66.08333333333333,43.55319148936171,17.541666666666668,0.0,0.0,64.08333333333333,43.0,17.791666666666668,43.33333333333334,11.333333333333336,69.58333333333333,42.319444444444436,17.487499999999994,39.083333333333336,16.416666666666668,76.66666666666667,43.58208955223882
2016-09-01 07:00:00,18.1875,214.83333333333331,67.91666666666667,65.83333333333333,17.1125,0.08333333333333333,7.166666666666668,66.08333333333333,43.43661971830985,17.212500000000002,0.0,0.0,66.08333333333333,43.55319148936171,18.508333333333333,379.83333333333326,49.41666666666666,66.33333333333333,42.153846153846146,18.765,354.5,63.2,73.8,42.84415584415584
2016-09-01 08:00:00,20.608333333333334,562.8333333333334,82.66666666666667,60.91666666666666,18.1875,214.83333333333331,67.91666666666667,65.83333333333333,42.46969696969697,17.1125,0.08333333333333333,7.166666666666668,66.08333333333333,43.43661971830985,19.7,590.5833333333334,76.08333333333333,63.91666666666666,42.0,21.59166666666667,517.0833333333334,130.75,65.75,42.0
2016-09-01 09:00:00,22.579166666666666,683.4166666666666,101.58333333333331,54.83333333333334,20.608333333333334,562.8333333333334,82.66666666666667,60.91666666666666,42.0,18.1875,214.83333333333331,67.91666666666667,65.83333333333333,42.46969696969697,21.875,703.4166666666665,97.66666666666669,56.66666666666666,41.69411764705883,23.15,509.58333333333326,192.16666666666663,60.75,41.72727272727273
2016-09-01 10:00:00,25.004166666666666,743.5833333333335,113.16666666666669,49.58333333333334,22.579166666666666,683.4166666666666,101.58333333333331,54.83333333333334,41.93333333333333,20.608333333333334,562.8333333333334,82.66666666666667,60.91666666666666,42.0,23.40833333333333,772.9166666666665,106.41666666666669,48.33333333333334,39.783132530120476,23.96666666666667,713.5833333333335,154.58333333333334,58.16666666666666,39.807692307692314
2016-09-01 11:00:00,26.29583333333333,779.75,123.33333333333331,46.5,25.004166666666666,743.5833333333335,113.16666666666669,49.58333333333334,40.28260869565217,22.579166666666666,683.4166666666666,101.58333333333331,54.83333333333334,41.93333333333333,24.03333333333333,807.5833333333335,113.0,46.75,38.83673469387755,24.97916666666666,803.9166666666665,136.83333333333334,55.41666666666666,38.72222222222222
2016-09-01 12:00:00,27.28333333333333,789.75,133.0,45.0,26.29583333333333,779.75,123.33333333333331,46.5,39.395833333333336,25.004166666666666,743.5833333333335,113.16666666666669,49.58333333333334,40.28260869565217,24.925,823.9166666666665,115.58333333333331,45.08333333333334,37.88095238095238,25.65,743.4166666666665,177.0,53.58333333333334,38.0
2016-09-01 13:00:00,28.3,786.4166666666665,143.83333333333334,43.66666666666666,27.28333333333333,789.75,133.0,45.0,37.93617021276596,26.29583333333333,779.75,123.33333333333331,46.5,39.395833333333336,25.97916666666667,829.1666666666665,112.16666666666669,42.583333333333336,37.0,25.941666666666666,389.33333333333326,250.83333333333331,52.58333333333334,38.0
2016-09-01 14:00:00,28.68333333333333,761.75,142.41666666666666,42.333333333333336,28.3,786.4166666666665,143.83333333333334,43.66666666666666,37.0,27.28333333333333,789.75,133.0,45.0,37.93617021276596,26.325,822.0,119.16666666666669,42.583333333333336,36.305555555555564,26.225,376.83333333333326,237.0,49.58333333333334,38.0
2016-09-01 15:00:00,28.825000000000006,706.6666666666665,136.58333333333334,42.0,28.68333333333333,761.75,142.41666666666666,42.333333333333336,37.0,28.3,786.4166666666665,143.83333333333334,43.66666666666666,37.0,26.3875,779.1666666666665,113.5,42.5,36.0,26.679166666666664,444.58333333333326,206.0,48.25,37.7887323943662
