Timestamp,T_avg,Idir,Idiff,RH
2016-06-22 00:00:00,21.2625,0.0,0.0,67.33333333333333
2016-06-22 01:00:00,20.554166666666667,0.0,0.0,70.25
2016-06-22 02:00:00,20.00416666666667,0.0,0.0,71.41666666666667
2016-06-22 03:00:00,19.625,0.0,0.0,73.58333333333333
2016-06-22 04:00:00,19.329166666666666,0.0,0.0,74.75
2016-06-22 05:00:00,19.254166666666666,21.0,18.833333333333332,75.75
2016-06-22 06:00:00,20.087500000000002,108.5,68.25,74.5
2016-06-22 07:00:00,22.233333333333334,16.833333333333332,144.91666666666666,69.75
2016-06-22 08:00:00,23.445833333333336,285.4166666666667,211.91666666666666,69.91666666666667
2016-06-22 09:00:00,26.13333333333333,439.8333333333333,263.5,62.583333333333336
2016-06-22 10:00:00,26.099999999999998,351.75,309.9166666666667,57.25
2016-06-22 11:00:00,26.170833333333334,50.083333333333336,511.25,58.75
2016-06-22 12:00:00,27.21666666666667,250.66666666666666,536.25,55.416666666666664
2016-06-22 13:00:00,27.533333333333335,85.16666666666667,490.0,54.333333333333336
2016-06-22 14:00:00,27.716666666666672,350.5,387.9166666666667,54.333333333333336
2016-06-22 15:00:00,28.64166666666667,284.0,359.4166666666667,53.833333333333336
2016-06-22 16:00:00,28.462500000000002,149.0,348.9166666666667,55.916666666666664
2016-06-22 17:00:00,28.474999999999998,212.0,239.91666666666666,56.083333333333336
2016-06-22 18:00:00,27.666666666666668,0.08333333333333333,110.83333333333333,56.75
2016-06-22 19:00:00,26.924999999999997,0.08333333333333333,53.583333333333336,60.25
2016-06-22 20:00:00,26.25,1.1666666666666667,13.5,61.75
2016-06-22 21:00:00,25.91666666666666,0.0,0.08333333333333333,60.833333333333336
2016-06-22 22:00:00,25.575000000000003,0.0,0.0,60.25
2016-06-22 23:00:00,25.52916666666667,0.0,0.0,59.0
2016-06-23 00:00:00,25.179166666666664,0.0,0.0,59.25
2016-06-23 01:00:00,24.16666666666666,0.0,0.0,63.833333333333336
2016-06-23 02:00:00,23.608333333333334,0.0,0.0,65.66666666666667
2016-06-23 03:00:00,22.387500000000003,0.0,0.0,71.25
2016-06-23 04:00:00,21.483333333333334,0.0,0.0,76.25
2016-06-23 05:00:00,21.129166666666663,0.3333333333333333,10.916666666666666,78.75
2016-06-23 06:00:00,22.004166666666666,21.75,82.66666666666667,75.16666666666667
2016-06-23 07:00:00,23.683333333333337,19.916666666666668,164.83333333333334,70.83333333333333
2016-06-23 08:00:00,26.16666666666667,24.916666666666668,273.25,61.166666666666664
2016-06-23 09:00:00,26.71666666666667,15.166666666666666,370.9166666666667,55.333333333333336
2016-06-23 10:00:00,27.474999999999998,173.08333333333334,404.9166666666667,54.166666666666664
2016-06-23 11:00:00,28.695833333333336,229.83333333333334,520.5,53.5
2016-06-23 12:00:00,29.116666666666664,162.08333333333334,498.1666666666667,53.833333333333336
2016-06-23 13:00:00,29.962500000000002,182.91666666666666,536.3333333333334,52.0
2016-06-23 14:00:00,30.437500000000004,511.25,301.4166666666667,51.833333333333336
2016-06-23 15:00:00,30.695833333333336,405.0,267.9166666666667,52.583333333333336
2016-06-23 16:00:00,30.90000000000001,436.27272727272725,257.1818181818182,53.81818181818182
2016-06-23 17:00:00,30.875,345.625,180.125,53.625
2016-06-23 18:00:00,30.634999999999998,401.9,123.2,53.8
2016-06-23 19:00:00,30.13333333333333,248.5,74.66666666666667,55.5
2016-06-23 20:00:00,28.845,30.1,15.4,60.0
2016-06-23 21:00:00,27.895,0.0,0.0,60.8
2016-06-23 22:00:00,27.516666666666666,0.0,0.0,60.22222222222222
2016-06-23 23:00:00,27.085714285714285,0.0,0.0,60.714285714285715
2016-06-24 00:00:00,26.749999999999996,0.0,0.0,60.666666666666664
2016-06-24 01:00:00,26.266666666666666,0.0,0.0,61.44444444444444
2016-06-24 02:00:00,24.5,0.0,0.0,69.11111111111111
2016-06-24 03:00:00,23.875,0.0,0.0,70.16666666666667
2016-06-24 04:00:00,24.259090909090904,0.0,0.0,67.54545454545455
2016-06-24 05:00:00,23.595,22.9,16.6,69.8
2016-06-24 06:00:00,24.5,188.75,80.33333333333333,68.41666666666667
2016-06-24 07:00:00,26.595833333333335,391.3333333333333,111.66666666666667,65.25
2016-06-24 08:00:00,28.412499999999994,506.3333333333333,149.16666666666666,56.083333333333336
2016-06-24 09:00:00,29.549999999999997,605.1666666666666,169.16666666666666,53.583333333333336
2016-06-24 10:00:00,30.483333333333334,413.8333333333333,333.1666666666667,53.5
2016-06-24 11:00:00,31.712500000000002,666.5833333333334,200.83333333333334,54.083333333333336
2016-06-24 12:00:00,32.14166666666667,628.1666666666666,237.25,56.0
2016-06-24 13:00:00,32.85,483.0,262.0,53.666666666666664
2016-06-24 14:00:00,32.9625,535.3333333333334,250.16666666666666,51.25
2016-06-24 15:00:00,33.50000000000001,575.0833333333334,245.08333333333334,49.416666666666664
2016-06-24 16:00:00,33.358333333333334,460.1666666666667,196.58333333333334,49.416666666666664
2016-06-24 17:00:00,33.09166666666666,298.6666666666667,160.25,50.416666666666664
2016-06-24 18:00:00,32.6125,138.66666666666666,99.41666666666667,50.0
2016-06-24 19:00:00,32.35416666666667,261.75,68.41666666666667,51.083333333333336
2016-06-24 20:00:00,30.854166666666668,44.75,16.666666666666668,57.583333333333336
2016-06-24 21:00:00,29.475,0.0,0.0,60.4
2016-06-24 22:00:00,29.155,0.0,0.0,60.5
2016-06-24 23:00:00,28.380000000000003,0.0,0.0,63.6
2016-06-25 00:00:00,27.805555555555557,0.0,0.0,66.0
