Timestamp,T_avg,Idir,Idiff,RH,T_avg1,Idir1,Idiff1,RH1,CO2zgb1,T_avg2,Idir2,Idiff2,RH2,CO2zgb2,T_avg3,Idir3,Idiff3,RH3,CO2zgb3,T_avg24,Idir24,Idiff24,RH24,CO2zgb24
2016-06-23 00:00:00,25.179166666666664,0.0,0.0,59.25,25.52916666666667,0.0,0.0,59.0,2052.3076923076924,25.575000000000006,0.0,0.0,60.25,2044.5769230769229,25.91666666666666,0.0,0.08333333333333333,60.83333333333334,2044.15,21.2625,0.0,0.0,67.33333333333333,2505.6666666666665
2016-06-23 01:00:00,24.16666666666666,0.0,0.0,63.83333333333334,25.179166666666664,0.0,0.0,59.25,2054.0,25.52916666666667,0.0,0.0,59.0,2052.3076923076924,25.575000000000006,0.0,0.0,60.25,2044.5769230769229,20.554166666666667,0.0,0.0,70.25,2491.964285714286
2016-06-23 02:00:00,23.60833333333333,0.0,0.0,65.66666666666667,24.16666666666666,0.0,0.0,63.83333333333334,2048.5172413793107,25.179166666666664,0.0,0.0,59.25,2054.0,25.52916666666667,0.0,0.0,59.0,2052.3076923076924,20.004166666666674,0.0,0.0,71.41666666666667,2479.5263157894738
2016-06-23 03:00:00,22.387500000000006,0.0,0.0,71.25,23.60833333333333,0.0,0.0,65.66666666666667,2054.9,24.16666666666666,0.0,0.0,63.83333333333334,2048.5172413793107,25.179166666666664,0.0,0.0,59.25,2054.0,19.625,0.0,0.0,73.58333333333333,2465.84375
2016-06-23 04:00:00,21.48333333333333,0.0,0.0,76.25,22.387500000000006,0.0,0.0,71.25,2068.1379310344832,23.60833333333333,0.0,0.0,65.66666666666667,2054.9,24.16666666666666,0.0,0.0,63.83333333333334,2048.5172413793107,19.329166666666666,0.0,0.0,74.75,2463.0625
2016-06-23 05:00:00,21.129166666666666,0.3333333333333333,10.916666666666664,78.75,21.48333333333333,0.0,0.0,76.25,2070.4545454545455,22.387500000000006,0.0,0.0,71.25,2068.1379310344832,23.60833333333333,0.0,0.0,65.66666666666667,2054.9,19.254166666666666,21.0,18.83333333333333,75.75,2449.931818181818
2016-06-23 06:00:00,22.004166666666666,21.75,82.66666666666667,75.16666666666667,21.129166666666666,0.3333333333333333,10.916666666666664,78.75,2072.705882352941,21.48333333333333,0.0,0.0,76.25,2070.4545454545455,22.387500000000006,0.0,0.0,71.25,2068.1379310344832,20.0875,108.5,68.25,74.5,2432.978723404255
2016-06-23 07:00:00,23.683333333333334,19.916666666666668,164.83333333333334,70.83333333333333,22.004166666666666,21.75,82.66666666666667,75.16666666666667,2075.2727272727275,21.129166666666666,0.3333333333333333,10.916666666666664,78.75,2072.705882352941,21.48333333333333,0.0,0.0,76.25,2070.4545454545455,22.23333333333333,16.833333333333332,144.91666666666666,69.75,2404.5
2016-06-23 08:00:00,26.16666666666667,24.91666666666667,273.25,61.16666666666666,23.683333333333334,19.916666666666668,164.83333333333334,70.83333333333333,2082.2571428571428,22.004166666666666,21.75,82.66666666666667,75.16666666666667,2075.2727272727275,21.129166666666666,0.3333333333333333,10.916666666666664,78.75,2072.705882352941,23.445833333333336,285.4166666666667,211.91666666666663,69.91666666666667,2385.1764705882347
2016-06-23 09:00:00,26.71666666666667,15.166666666666664,370.91666666666674,55.33333333333334,26.16666666666667,24.91666666666667,273.25,61.16666666666666,2062.756756756757,23.683333333333334,19.916666666666668,164.83333333333334,70.83333333333333,2082.2571428571428,22.004166666666666,21.75,82.66666666666667,75.16666666666667,2075.2727272727275,26.13333333333333,439.83333333333326,263.5,62.58333333333334,2344.906976744186
2016-06-23 10:00:00,27.475,173.08333333333337,404.91666666666674,54.16666666666666,26.71666666666667,15.166666666666664,370.91666666666674,55.33333333333334,2073.8350515463917,26.16666666666667,24.91666666666667,273.25,61.16666666666666,2062.756756756757,23.683333333333334,19.916666666666668,164.83333333333334,70.83333333333333,2082.2571428571428,26.1,351.75,309.9166666666667,57.25,2280.2065217391305
2016-06-23 11:00:00,28.695833333333336,229.83333333333331,520.5,53.5,27.475,173.08333333333337,404.91666666666674,54.16666666666666,2181.542857142857,26.71666666666667,15.166666666666664,370.91666666666674,55.33333333333334,2073.8350515463917,26.16666666666667,24.91666666666667,273.25,61.16666666666666,2062.756756756757,26.17083333333333,50.08333333333334,511.25,58.75,2206.48
2016-06-23 12:00:00,29.116666666666664,162.08333333333334,498.16666666666674,53.83333333333334,28.695833333333336,229.83333333333331,520.5,53.5,2174.7714285714287,27.475,173.08333333333337,404.91666666666674,54.16666666666666,2181.542857142857,26.71666666666667,15.166666666666664,370.91666666666674,55.33333333333334,2073.8350515463917,27.21666666666667,250.66666666666663,536.25,55.41666666666666,2133.2363636363634
2016-06-23 13:00:00,29.9625,182.91666666666663,536.3333333333334,52.0,29.116666666666664,162.08333333333334,498.16666666666674,53.83333333333334,2313.0,28.695833333333336,229.83333333333331,520.5,53.5,2174.7714285714287,27.475,173.08333333333337,404.91666666666674,54.16666666666666,2181.542857142857,27.53333333333333,85.16666666666667,490.0,54.33333333333334,2047.6019417475727
2016-06-23 14:00:00,30.437500000000004,511.25,301.4166666666667,51.83333333333334,29.9625,182.91666666666663,536.3333333333334,52.0,2424.766666666667,29.116666666666664,162.08333333333334,498.16666666666674,53.83333333333334,2313.0,28.695833333333336,229.83333333333331,520.5,53.5,2174.7714285714287,27.71666666666667,350.5,387.91666666666674,54.33333333333334,2017.7570093457944
